employee_id,first_name,last_name,gender,state,city,education_level,birthdate,hiredate,termdate,department,job_title,salary,performance_rating,overtime
00-95822412,Navya,Bhalla,Male,Maharashtra,Pune,Bachelor,2/3/1995,1/10/2016,7/8/2016,Operations,Inventory Specialist,434893,Good,No
00-42868828,Raghav,Das,Male,Tamil Nadu,Coimbatore,Master,1/29/1982,3/23/2017,4/1/2019,Finance,Financial Analyst,960834,Good,No
00-83197857,Sara,Behl,Female,Maharashtra,Mumbai,Bachelor,9/20/1983,9/3/2016,12/28/2019,Operations,Inventory Specialist,280175,Good,No
00-13999315,Inaaya ,Bassi,Male,Maharashtra,Nagpur,Bachelor,7/18/1972,8/3/2016,5/11/2020,Marketing,Marketing Manager,843875,Satisfactory,Yes
00-90801586,Arhaan,Aurora,Female,Maharashtra,Pune,Bachelor,10/14/1979,2/4/2015,1/16/2022,Operations,Logistics Coordinator,414612,Good,Yes
00-97226012,Mehul,Krishnan,Male,Maharashtra,Mumbai,Bachelor,2/7/1974,8/8/2022,2/4/2023,Marketing,SEO Specialist,683150,Good,Yes
00-70291817,Jhanvi,Chaudhary,Male,Maharashtra,Nagpur,High School,2/15/1977,9/18/2020,2/22/2023,Customer Service,Customer Service Representative,428199,Satisfactory,No
00-31429110,Rati,Mahajan,Male,Maharashtra,Nagpur,Master,1/23/1993,6/2/2022,11/29/2022,Operations,Operations Analyst,365033,Good,No
00-30868105,Alia,Raja,Female,Maharashtra,Nagpur,Master,11/28/1976,4/12/2017,3/14/2021,IT,Software Developer,692578,Excellent,No
00-22448136,Aarush,Sibal,Male,Bihar,Bhagalpur,High School,2/15/1971,10/21/2018,4/19/2019,Customer Service,Support Specialist,373636,Good,No
00-56164955,Rasha,Kakar,Male,Gujarat,Vadodara,Bachelor,6/5/1971,5/4/2021,7/3/2024,Customer Service,Support Specialist,272414,Satisfactory,No
00-71662963,Indrans,Chokshi,Male,Rajasthan,Jodhpur,Bachelor,8/24/1988,12/15/2020,9/22/2022,IT,Software Developer,1036425,Satisfactory,No
00-84093639,Shayak,Behl,Male,Madhya Pradesh,Gwalior,High School,2/6/1987,2/3/2017,4/28/2022,IT,IT Support Specialist,301457,Satisfactory,Yes
00-58537831,Divit,Gola,Male,Bihar,Gaya,Master,12/18/1963,11/5/2020,5/4/2021,HR,HR Coordinator,541617,Good,No
00-16150444,Lavanya,Deo,Female,Maharashtra,Nagpur,High School,8/28/1969,10/21/2022,4/19/2023,Marketing,Content Creator,347368,Satisfactory,Yes
00-41244663,Samiha,Karpe,Female,Maharashtra,Mumbai,Master,4/23/1968,7/15/2023,1/11/2024,Marketing,Marketing Manager,1558135,Satisfactory,No
00-70855700,Uthkarsh,Baral,Male,Maharashtra,Mumbai,High School,4/11/1987,7/20/2021,1/16/2022,Operations,Inventory Specialist,240390,Needs Improvement,No
00-59684848,Mishti,Ranganathan,Male,Maharashtra,Nagpur,PhD,11/1/1959,11/19/2018,8/10/2023,Sales,Sales Specialist,661959,Good,Yes
00-96977837,Taran,Mani,Male,Maharashtra,Pune,High School,3/22/1973,3/11/2016,4/16/2018,Operations,Inventory Specialist,229968,Satisfactory,Yes
00-81691040,Darshit,Bajaj,Female,Maharashtra,Pune,High School,12/24/1966,8/29/2022,2/25/2023,Operations,Inventory Specialist,430617,Good,Yes
00-60929647,Trisha,Dhillon,Female,Madhya Pradesh,Gwalior,Bachelor,1/18/1980,12/25/2017,5/30/2021,Marketing,Marketing Coordinator,361505,Excellent,Yes
00-84752529,Mehul,Verma,Male,Maharashtra,Nagpur,High School,7/23/1996,2/6/2017,7/21/2024,IT,IT Support Specialist,243422,Excellent,No
